TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,lshoulder_xPos,lshoulder_yPos,lshoulder_zPos,lshoulder_wQuat,lshoulder_xQuat,lshoulder_yQuat,lshoulder_zQuat,lshoulder_xrot,lshoulder_yrot,lshoulder_zrot,rshoulder_xPos,rshoulder_yPos,rshoulder_zPos,rshoulder_wQuat,rshoulder_xQuat,rshoulder_yQuat,rshoulder_zQuat,rshoulder_xrot,rshoulder_yrot,rshoulder_zrot
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,0.9458681,0.9227908,-2.303764,0.06759869,0.03242161,0.9969771,-0.02039679,2.582255,172.3222,3.551893,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
0.0783176,1.616802,0.8664234,-2.417363,0.1422526,-0.05352944,0.9834614,0.09850171,347.9377,164.0181,355.4684,1,0,-1.64,0,0,1,0,0,180,0,0.9463116,0.9212188,-2.302617,0.06813931,0.03240836,0.9969426,-0.0203004,2.573057,172.2598,3.549707,1.993369,0.8148484,-2.22429,0.06120092,-0.08728806,0.7045931,0.7015581,272.1282,257.3359,270.608,1.888833,0.8135423,-2.259578,0.0931339,-0.0666867,0.7005334,0.7043663,272.1655,75.2636,91.7563
0.1889225,1.618999,0.867255,-2.41602,0.1424199,-0.05348356,0.9834117,0.09877992,347.9059,163.9982,355.4801,1,0,-1.64,0,0,1,0,0,180,0,0.9470172,0.9223578,-2.303092,0.06857839,0.03309404,0.996902,-0.01970533,2.511944,172.2091,3.631613,1.993086,0.8150086,-2.224195,0.06116758,-0.08761316,0.7044282,0.7016861,272.1542,258.0403,269.8798,1.888462,0.8133973,-2.259317,0.09290574,-0.06659865,0.700401,0.7045364,272.1578,74.5892,92.45657
0.4367852,1.619481,0.8677231,-2.415813,0.1426134,-0.05348584,0.9833589,0.09902576,347.877,163.9758,355.4861,1,0,-1.64,0,0,1,0,0,180,0,0.947829,0.9231226,-2.305046,0.06878129,0.03344476,0.9968824,-0.01939058,2.479447,172.1856,3.673661,1.992558,0.8146515,-2.224259,0.06139361,-0.08761545,0.7042942,0.7018006,272.1344,258.5184,269.3831,1.883729,0.8141563,-2.255677,0.09130401,-0.06682345,0.7011165,0.7040127,271.9975,76.83215,90.32621
0.5406457,1.618378,0.8670378,-2.416329,0.1426799,-0.05348318,0.9833543,0.09897605,347.8824,163.9679,355.4864,1,0,-1.64,0,0,1,0,0,180,0,0.9449136,0.9224676,-2.30409,0.06810078,0.03270144,0.9969453,-0.01982718,2.521095,172.2634,3.586947,1.992375,0.8152106,-2.223985,0.06160042,-0.08759852,0.7037929,0.7022874,272.1102,260.6288,267.2572,1.884306,0.8136816,-2.256821,0.09156945,-0.06682462,0.7015313,0.7035648,272.0119,78.87043,88.26615
0.6516626,1.617967,0.8665917,-2.416209,0.1425278,-0.05329897,0.983394,0.09890091,347.8946,163.9835,355.5046,1,0,-1.64,0,0,1,0,0,180,0,0.9447358,0.9232082,-2.303764,0.0684611,0.03267824,0.9969151,-0.02013701,2.557625,172.223,3.581018,1.988902,0.8146524,-2.223621,0.06188425,-0.08767707,0.7027454,0.7033008,272.0904,265.1617,262.6949,1.883385,0.8136713,-2.257384,0.09151828,-0.06683294,0.7013428,0.7037585,272.0098,77.981,89.15911
0.7627548,1.619223,0.8674247,-2.415872,0.1426478,-0.05325323,0.9834099,0.09859385,347.9298,163.9684,355.5067,1,0,-1.64,0,0,1,0,0,180,0,0.9451618,0.9237664,-2.303539,0.06801458,0.03185762,0.9969609,-0.02069012,2.612909,172.2739,3.484029,1.987467,0.8145346,-2.223676,0.06193762,-0.08789643,0.7023926,0.7036211,272.1058,266.6267,261.2076,1.883317,0.8138146,-2.257475,0.09164585,-0.06664091,0.7012189,0.7038836,272.0377,77.48983,89.65549
0.8734991,1.619608,0.8676602,-2.415807,0.1426669,-0.05330147,0.9834118,0.09852049,347.9373,163.9667,355.5002,1,0,-1.64,0,0,1,0,0,180,0,0.9435619,0.923017,-2.302948,0.06847959,0.03205605,0.996923,-0.02067599,2.61446,172.221,3.505635,1.985966,0.8152457,-2.222627,0.06214498,-0.0877231,0.7017776,0.7042378,272.0822,269.4096,258.4219,1.883416,0.8136975,-2.257467,0.09178681,-0.06661128,0.7010579,0.7040284,272.054,76.83878,90.2974
0.973793,1.619775,0.8674314,-2.415658,0.1425836,-0.05335306,0.9833967,0.09876409,347.9091,163.9774,355.497,1,0,-1.64,0,0,1,0,0,180,0,0.9419868,0.9231376,-2.302415,0.068178,0.03134934,0.9969577,-0.0210795,2.654054,172.255,3.422458,1.985879,0.8159336,-2.222417,0.06218059,-0.08779687,0.7016121,0.7043904,272.0879,270.1014,257.7212,1.883901,0.8140603,-2.257471,0.09178645,-0.06655244,0.7010816,0.7040104,272.0584,76.94992,90.19107
1.084579,1.621002,0.868232,-2.415187,0.1426282,-0.05338654,0.9834014,0.09863541,347.923,163.9724,355.4917,1,0,-1.64,0,0,1,0,0,180,0,0.9423766,0.9230197,-2.30168,0.06762922,0.03124092,0.9969997,-0.02101906,2.644429,172.3176,3.411961,1.98358,0.8151764,-2.222615,0.06221181,-0.0877143,0.7016097,0.7044003,272.0789,270.1582,257.6686,1.883628,0.8135006,-2.25771,0.09165576,-0.0667446,0.7010092,0.7040814,272.0338,76.53732,90.59873
1.189675,1.62055,0.8678365,-2.41533,0.1427536,-0.05325622,0.9833699,0.09883709,347.9016,163.9563,355.5114,1,0,-1.64,0,0,1,0,0,180,0,0.9406021,0.9244857,-2.302654,0.06827001,0.03135708,0.9969499,-0.02113937,2.661273,172.2447,3.422644,1.982792,0.815672,-2.221883,0.06231355,-0.08754729,0.701045,0.7049741,272.0693,272.7663,255.0659,1.883933,0.8138421,-2.257516,0.0916831,-0.06653076,0.7009815,0.7041256,272.054,76.45047,90.70072
1.300689,1.620867,0.8681773,-2.415438,0.1425372,-0.05323124,0.9834247,0.09861793,347.9279,163.9812,355.5082,1,0,-1.64,0,0,1,0,0,180,0,0.9422365,0.9244765,-2.301593,0.06781999,0.03096391,0.9969829,-0.02160568,2.710008,172.2967,3.375311,1.983243,0.8162668,-2.22167,0.06223758,-0.08758804,0.700987,0.7050334,272.0802,272.9866,254.8484,1.884319,0.8138069,-2.257727,0.09185763,-0.066602,0.7009375,0.7041399,272.0629,76.33914,90.79202
1.411739,1.620962,0.8681659,-2.415257,0.1424261,-0.05333563,0.9834403,0.09856594,347.9327,163.9955,355.494,1,0,-1.64,0,0,1,0,0,180,0,0.9502876,0.9266922,-2.306367,0.07394131,0.03480399,0.9963763,-0.02357454,2.987904,171.6104,3.781927,1.98115,0.8156231,-2.221939,0.06249891,-0.08775005,0.7005033,0.7054707,272.0853,275.0295,252.771,1.884246,0.8138027,-2.257643,0.09158839,-0.06675135,0.7010902,0.7040088,272.0264,76.86828,90.27274
