TimeSinceStartup,Lhand_xPos,Lhand_yPos,Lhand_zPos,Lhand_wQuat,Lhand_xQuat,Lhand_yQuat,Lhand_zQuat,Lhandxrot,Lhandyrot,Lhandzrot,Rhand_xPos,Rhand_yPos,Rhand_zPos,Rhand_wQuat,Rhand_xQuat,Rhand_yQuat,Rhand_zQuat,Rhandxrot,Rhandyrot,Rhandzrot,HMD_xPos,HMD_yPos,HMD_zPos,HMD_wQuat,HMD_xQuat,HMD_yQuat,HMD_zQuat,HMDxrot,HMDyrot,HMDzrot,vrtracker_xPos,vrtracker_yPos,vrtracker_zPos,vrtracker_wQuat,vrtracker_xQuat,vrtracker_yQuat,vrtracker_zQuat,vrtracker_xrot,vrtracker_yrot,vrtracker_zrot,rtracker_xPos,rtracker_yPos,rtracker_zPos,rtracker_wQuat,rtracker_xQuat,rtracker_yQuat,rtracker_zQuat,rtracker_xrot,rtracker_yrot,rtracker_zrot
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.117343,1.247515,-2.180788,0.1772347,-0.02061697,0.9732124,0.1449843,343.1714,159.2579,0.6742175,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0
0,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.117303,1.247494,-2.180834,0.1770977,-0.02061627,0.9732456,0.1449295,343.1776,159.2747,0.6706536,2.09878,1.340331,-2.126036,-0.7050403,0.696568,0.0952889,0.09290452,270.713,336.6346,8.070813,1.384799,0.8789312,-2.558034,0.454117,0.03449842,0.8852841,-0.09412635,11.41943,125.5451,358.5732
0.02,1.25,1,-1.64,0,0,1,0,0,180,0,0.75,1,-1.64,0,0,1,0,0,180,0,2.116593,1.247324,-2.181204,0.1772134,-0.02118951,0.9734766,0.1431426,343.3693,159.2827,0.5668016,2.09894,1.340337,-2.126106,-0.7048647,0.6967389,0.09529976,0.09294421,270.6859,336.1844,8.516686,1.384775,0.878907,-2.558058,0.4541581,0.03454978,0.8852586,-0.09414931,11.42442,125.5399,358.5767
0.0399334,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.116624,1.247281,-2.181208,0.1773951,-0.0210758,0.9735016,0.1427639,343.4149,159.2615,0.5749177,2.099299,1.340339,-2.126247,-0.7043636,0.697214,0.0951318,0.09335186,270.5967,338.3607,6.3208,1.384453,0.8788375,-2.558144,0.454116,0.03461204,0.8852803,-0.09412563,11.42534,125.5462,358.585
0.0602819,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.116661,1.247012,-2.181129,0.1780835,-0.02064022,0.9735243,0.1418123,343.5328,159.1781,0.6166774,2.099651,1.340377,-2.126224,-0.7040687,0.6974733,0.09496655,0.09380632,270.5425,342.3518,2.306154,1.384213,0.8787963,-2.558264,0.4541323,0.03430979,0.8852948,-0.09402046,11.39864,125.543,358.5593
0.0825352,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.116513,1.24698,-2.181178,0.17811,-0.02067838,0.9735615,0.1415181,343.5655,159.1776,0.606231,2.099777,1.340354,-2.126199,-0.7041206,0.6974091,0.09494348,0.09391714,270.55,343.631,1.019769,1.384286,0.8788624,-2.55822,0.4540928,0.03432,0.8853151,-0.09401641,11.39882,125.5483,358.5611
0.0938641,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.116628,1.246967,-2.181139,0.1781405,-0.0208003,0.9735863,0.1412908,343.5888,159.1774,0.5875953,2.099896,1.340363,-2.126254,-0.7040693,0.6974664,0.09504585,0.09377271,270.545,341.4135,3.240786,1.384246,0.8788525,-2.558236,0.4540823,0.03432955,0.8853126,-0.09408676,11.40654,125.5489,358.5584
0.1051719,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.116574,1.24693,-2.181142,0.1781484,-0.02073811,0.9736227,0.1410392,343.6188,159.1772,0.5894256,2.100005,1.340346,-2.126305,-0.7039148,0.6976144,0.09518642,0.09368888,270.5245,338.9543,5.695343,1.384537,0.8789538,-2.558112,0.4541849,0.03426764,0.885269,-0.0940249,11.39679,125.5358,358.554
0.1271751,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.116493,1.246808,-2.181185,0.1782168,-0.02089505,0.9736873,0.1404823,343.679,159.1753,0.5601375,2.100188,1.340258,-2.126422,-0.7032161,0.6982953,0.09522204,0.09382674,270.4149,336.4872,8.148381,1.384376,0.8789779,-2.558069,0.4541858,0.03430545,0.8852735,-0.09396417,11.39256,125.5367,358.5612
0.1384548,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.116436,1.24676,-2.181134,0.1782373,-0.020914,0.9737157,0.1402567,343.7043,159.1746,0.5533335,2.098864,1.340363,-2.126322,-0.7029326,0.6985595,0.0953647,0.09384003,270.3748,333.0903,11.53253,1.38445,0.8789562,-2.558094,0.4541692,0.03425938,0.8852797,-0.0940027,11.3941,125.538,358.5546
0.1497218,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.116264,1.246819,-2.181095,0.1783231,-0.02090758,0.9737088,0.140196,343.7113,159.1646,0.5542232,2.098675,1.340304,-2.126364,-0.7027466,0.6987368,0.09536135,0.09391692,270.3449,332.498,12.11874,1.38458,0.8789007,-2.558128,0.4541863,0.03426547,0.8852715,-0.09399541,11.39365,125.5359,358.5554
0.1610113,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.116122,1.246806,-2.181102,0.1783392,-0.02103507,0.9737304,0.1400059,343.7303,159.166,0.5355173,2.09675,1.34021,-2.126498,-0.7026899,0.6988296,0.09536076,0.09365044,270.3421,328.4238,16.21492,1.384503,0.8788763,-2.558164,0.4542231,0.03426525,0.8852602,-0.09392397,11.38627,125.532,358.5587
0.1825709,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.115921,1.246768,-2.181139,0.1781976,-0.02106968,0.9738,0.1396969,343.7647,159.1856,0.5222874,2.096429,1.340089,-2.126704,-0.7026992,0.6988264,0.09542874,0.09353498,270.3489,326.2631,18.37942,1.384362,0.8788155,-2.558173,0.4542287,0.03413672,0.8852704,-0.09384794,11.37171,125.5312,358.5495
0.2046055,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.115714,1.246804,-2.181136,0.1782824,-0.02122409,0.9738378,0.1393015,343.8065,159.1805,0.4971393,2.096306,1.340154,-2.126798,-0.7025383,0.6989769,0.09574667,0.09329451,270.35,317.7694,26.86676,1.385086,0.8790573,-2.557738,0.4541545,0.03423479,0.8852961,-0.09392809,11.3852,125.5407,358.5562
0.2275879,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.115603,1.246765,-2.181041,0.1786706,-0.02142119,0.9738203,0.1388959,343.8488,159.1397,0.4719837,2.096056,1.340229,-2.126853,-0.7019854,0.6994675,0.09593698,0.09358363,270.2791,309.2331,35.36384,1.385577,0.8792956,-2.55758,0.4542389,0.03442881,0.8852423,-0.09395584,11.39812,125.5308,358.5736
0.2490461,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.115194,1.246844,-2.180941,0.179356,-0.0217067,0.9737217,0.1386589,343.8701,159.0635,0.4453071,2.095943,1.340255,-2.126798,-0.7011201,0.700222,0.09620353,0.09415235,270.1813,285.9127,58.6165,1.385195,0.879261,-2.55771,0.454393,0.03430545,0.885151,-0.09411645,11.4078,125.5077,358.5502
0.2712527,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.114981,1.246854,-2.18077,0.1800853,-0.02231567,0.9736081,0.1384148,343.8853,158.9872,0.3816634,2.096251,1.340142,-2.12684,-0.7011534,0.7000582,0.09689566,0.09441177,270.2203,286.0186,58.43198,1.385447,0.8793226,-2.557631,0.4543613,0.03441322,0.8851561,-0.0941819,11.42023,125.5119,358.5582
0.2937925,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.114908,1.246786,-2.180488,0.1809773,-0.02262196,0.9735981,0.1372674,344.0097,158.8923,0.3358687,2.096558,1.340218,-2.126607,-0.7012798,0.6997617,0.09820379,0.09431977,270.338,283.5234,60.82833,1.384671,0.8790478,-2.557971,0.4541687,0.03427656,0.8852957,-0.09384779,11.37916,125.5401,358.5647
0.3050595,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.11481,1.246756,-2.180183,0.181486,-0.02270948,0.9735789,0.136716,344.0707,158.8362,0.3220605,2.096541,1.340231,-2.126506,-0.7004328,0.7005343,0.09862199,0.09444167,270.3392,260.7636,83.54375,1.384414,0.8789643,-2.558038,0.4540622,0.03425176,0.8853527,-0.09383444,11.37666,125.554,358.5642
0.3163691,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.114699,1.246804,-2.179865,0.1819259,-0.02270328,0.9735585,0.1362766,344.121,158.7861,0.3203966,2.096534,1.340345,-2.126373,-0.699429,0.7014104,0.09893769,0.09504691,270.3533,235.1279,109.1041,1.384392,0.8789576,-2.558038,0.4540165,0.03425742,0.8853847,-0.09375104,11.3685,125.5611,358.5699
0.3386916,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.11441,1.24705,-2.178933,0.1832781,-0.02264373,0.973386,0.1357059,344.1876,158.6265,0.3371491,2.09606,1.340825,-2.125593,-0.697513,0.7030406,0.09929327,0.09669736,270.4949,197.1899,146.8778,1.384917,0.8790386,-2.557818,0.4540983,0.03432217,0.8853155,-0.0939855,11.39577,125.548,358.5629
0.3602183,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.114247,1.24734,-2.177943,0.1845288,-0.02244883,0.9732119,0.1352913,344.2393,158.476,0.371218,2.095318,1.341163,-2.124632,-0.6978366,0.7024658,0.1001404,0.09766186,270.4247,200.1248,143.7948,1.385123,0.8791895,-2.557838,0.4540687,0.03431978,0.885284,-0.09442437,11.4406,125.5464,358.5393
0.3822965,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.113818,1.24778,-2.176609,0.1855515,-0.02209637,0.9732041,0.1340012,344.394,158.3562,0.3997509,2.094801,1.341725,-2.123712,-0.6985146,0.7015212,0.1015723,0.09812469,270.3701,220.7905,122.974,1.385026,0.8790673,-2.557895,0.4541529,0.03442859,0.8852422,-0.09437243,11.44087,125.5369,358.5522
0.4045384,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.113341,1.248301,-2.174881,0.1867966,-0.02182578,0.9731307,0.1328432,344.5319,158.2103,0.4251037,2.094645,1.342271,-2.122442,-0.696311,0.7033913,0.1016644,0.1002799,270.5842,182.8538,160.7267,1.385053,0.8791298,-2.557902,0.4541432,0.03444957,0.8852836,-0.09402196,11.40613,125.5426,358.5735
0.4267691,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.112303,1.248419,-2.173001,0.1884452,-0.02114441,0.9728538,0.1326535,344.5692,158.0034,0.5263349,2.094022,1.342442,-2.121288,-0.6946415,0.7046944,0.1017331,0.1026125,270.8176,166.6923,176.6913,1.385083,0.8790973,-2.557945,0.4540896,0.034169,0.8853156,-0.09408264,11.39766,125.5468,358.542
0.44896,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.111374,1.24885,-2.171283,0.1894896,-0.02032908,0.9727832,0.1318077,344.6838,157.8716,0.6178777,2.094147,1.343142,-2.119879,-0.6955998,0.7035723,0.101165,0.1043675,270.696,149.7581,193.5285,1.384846,0.8790393,-2.557777,0.4539957,0.03388699,0.8853678,-0.09414629,11.38948,125.5561,358.5107
0.4714314,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.11032,1.24945,-2.169625,0.1897292,-0.01946336,0.9729249,0.1305413,344.8469,157.8385,0.6922835,2.09395,1.343788,-2.118148,-0.6964191,0.7026144,0.1014977,0.1050316,270.5778,141.9016,201.3034,1.384636,0.8788357,-2.557908,0.4540889,0.03381899,0.8853376,-0.09400523,11.37131,125.5452,358.5101
0.4934362,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.109083,1.250069,-2.167838,0.1893679,-0.01880546,0.9731662,0.1293592,344.9953,157.8801,0.7350504,2.0908,1.344303,-2.116662,-0.6940444,0.70503,0.1010575,0.1049886,270.945,151.9329,191.3114,1.384496,0.8787478,-2.558158,0.4540924,0.03411423,0.8853163,-0.09408177,11.39468,125.546,358.5363
0.5156615,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.106887,1.250203,-2.165861,0.188896,-0.01859859,0.9734643,0.1278265,345.1733,157.9438,0.7160906,2.088568,1.345147,-2.115419,-0.6926088,0.7064974,0.09977843,0.105825,271.2272,148.1134,195.1666,1.384157,0.8786969,-2.558323,0.4539756,0.03408758,0.885353,-0.09430941,11.41676,125.5583,358.5228
0.5378411,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.104947,1.250903,-2.164021,0.1893698,-0.01816373,0.9736905,0.1254435,345.4535,157.8966,0.718548,2.087012,1.345787,-2.113906,-0.6930233,0.7060628,0.09881755,0.1069077,271.243,139.8181,203.452,1.384497,0.8788605,-2.558101,0.4540761,0.03374289,0.8853332,-0.09413458,11.38055,125.5446,358.4954
0.5600878,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.102679,1.251298,-2.162024,0.1899189,-0.0183428,0.9739301,0.1226972,345.7612,157.851,0.6429017,2.085041,1.346826,-2.112468,-0.6908712,0.7080343,0.09773167,0.1087801,271.6537,138.8316,204.3732,1.384124,0.8787596,-2.558274,0.454161,0.03367792,0.8852952,-0.0941064,11.37411,125.5334,358.4891
0.5823888,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.099245,1.251097,-2.159717,0.1905313,-0.01946167,0.9742098,0.1193078,346.1207,157.8139,0.4452577,2.082257,1.347988,-2.111228,-0.6882885,0.710409,0.09703667,0.1102813,272.0893,140.658,202.4798,1.384433,0.8789562,-2.558201,0.4541833,0.03413126,0.8852701,-0.09407179,11.3944,125.5344,358.5374
0.6044992,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.095993,1.251176,-2.157568,0.1914388,-0.0209681,0.9746627,0.1137722,346.7143,157.7569,0.1581986,2.079555,1.348809,-2.109676,-0.685634,0.7126411,0.09857374,0.1110498,272.4106,146.6792,196.2687,1.384308,0.8786529,-2.558277,0.4542987,0.03408758,0.8852219,-0.09398352,11.38288,125.52,358.5362
0.6269594,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.092294,1.250928,-2.155192,0.1924973,-0.02275091,0.975377,0.1051995,347.6445,157.6962,359.7724,2.077052,1.349296,-2.109571,-0.6821106,0.715344,0.1024625,0.1118462,272.7984,155.5138,187.0487,1.384973,0.8788469,-2.55796,0.4542636,0.03384475,0.8852481,-0.09399454,11.37128,125.5227,358.511
0.6488572,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.088134,1.251216,-2.152586,0.1921512,-0.02474763,0.9762305,0.09715711,348.5095,157.7943,359.3579,2.073205,1.349753,-2.108718,-0.6712887,0.7253854,0.1051517,0.1101396,274.403,165.9691,176.505,1.385069,0.8788213,-2.557873,0.4541462,0.03370158,0.8852938,-0.09418182,11.38309,125.5346,358.4877
0.6711106,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.083885,1.250971,-2.149627,0.1910541,-0.02642005,0.97714,0.08943059,349.3466,157.9687,358.982,2.069932,1.350361,-2.107781,-0.6652081,0.7308002,0.1068438,0.1096073,275.3214,168.774,173.599,1.385089,0.8789753,-2.557964,0.4542252,0.03400091,0.8852617,-0.09399509,11.37962,125.5288,358.5276
0.6933964,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.079636,1.250991,-2.146829,0.188987,-0.02739866,0.9782079,0.08150186,350.2234,158.244,358.6744,2.0654,1.351146,-2.105113,-0.6567838,0.7389252,0.1099533,0.1026402,276.6859,176.427,166.2517,1.384582,0.8787876,-2.558264,0.4542187,0.03419037,0.8852536,-0.09403448,11.39364,125.5306,358.5451
0.7155226,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.075222,1.250265,-2.14363,0.1861271,-0.02748209,0.9794043,0.07327128,351.1554,158.5986,358.4599,2.061517,1.351621,-2.103216,-0.6538978,0.7419711,0.1099586,0.09902342,277.196,178.5629,164.4076,1.384769,0.8788176,-2.558001,0.4542758,0.03399193,0.8852035,-0.0943016,11.41042,125.5184,358.5094
0.7317374,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.072941,1.249655,-2.14189,0.184048,-0.0265504,0.9801697,0.06847535,351.7202,158.8431,358.4456,2.059822,1.348631,-2.10379,-0.6544279,0.7418035,0.1088684,0.09797583,277.1393,178.6793,164.4672,1.384931,0.8787825,-2.557848,0.4542665,0.03384189,0.885213,-0.0943113,11.40353,125.5183,358.4936
0.7539063,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.068387,1.249207,-2.138782,0.179058,-0.0255271,0.9815329,0.0622883,352.4485,159.4289,358.3928,2.052814,1.349665,-2.10186,-0.6435851,0.7519416,0.1076147,0.09381483,278.8597,179.0446,164.5288,1.384856,0.8787165,-2.557945,0.4541789,0.03381017,0.8852871,-0.09404913,11.37518,125.5328,358.5056
0.7761033,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.064004,1.24915,-2.135161,0.1722902,-0.02601094,0.9828672,0.06009588,352.6982,160.227,358.2424,2.049982,1.350099,-2.100003,-0.6326714,0.7621868,0.1022431,0.09134804,280.5464,176.9069,167.2899,1.384806,0.8786628,-2.55795,0.454028,0.03393643,0.8853669,-0.09398067,11.37508,125.5543,358.5243
0.7876939,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.061788,1.24929,-2.133222,0.1684735,-0.02634372,0.9835093,0.06026836,352.6792,160.6758,358.1794,2.0478,1.350065,-2.098428,-0.630251,0.7646172,0.1005771,0.08960152,280.9404,176.9059,167.5663,1.384784,0.8786457,-2.557944,0.4540323,0.03400815,0.885362,-0.09398028,11.37881,125.5543,358.5316
0.8094755,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.05775,1.249245,-2.129061,0.1609887,-0.02710855,0.9848349,0.05871982,352.8546,161.5566,358.0081,2.044667,1.350522,-2.094924,-0.6340848,0.7623129,0.1005312,0.08190841,280.5139,180.8199,164.2931,1.383847,0.877914,-2.558936,0.4537314,0.03418296,0.8854907,-0.09415752,11.40664,125.5928,358.544
0.8212625,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.055913,1.249029,-2.126859,0.1576874,-0.02722059,0.9854961,0.05649111,353.112,161.943,357.9314,2.043018,1.350659,-2.093032,-0.6354371,0.7615967,0.1010035,0.07738437,280.4144,183.3272,162.1193,1.383831,0.8778684,-2.558983,0.4538767,0.03418797,0.8853943,-0.09436154,11.42755,125.5713,358.5316
0.8428598,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.052132,1.248858,-2.121917,0.1513648,-0.02674282,0.9867545,0.05185669,353.6596,162.6764,357.862,2.03593,1.35076,-2.089009,-0.6360177,0.762181,0.09943201,0.06837368,280.5429,186.9862,159.3265,1.384197,0.8784881,-2.558238,0.4541181,0.03423719,0.8852245,-0.09477406,11.47195,125.535,358.5112
0.8649377,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.048977,1.249406,-2.117178,0.1447158,-0.02528567,0.9878655,0.05039649,353.864,163.4409,357.9613,2.033174,1.350858,-2.084773,-0.6323444,0.7662661,0.09527154,0.06245245,281.1903,187.3355,159.7962,1.383911,0.8784992,-2.558481,0.454025,0.03436556,0.8853062,-0.09440961,11.44157,125.5527,358.5454
0.8760378,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.047053,1.249565,-2.114666,0.1409807,-0.02397386,0.9884607,0.04995146,353.9435,163.8673,358.0804,2.031719,1.350956,-2.082579,-0.630646,0.7681242,0.09283247,0.06044006,281.4638,187.0048,160.4885,1.38386,0.8785011,-2.558504,0.4539951,0.03436469,0.8853357,-0.09427772,11.42808,125.5582,358.5528
0.8982968,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.043912,1.24966,-2.108893,0.1339536,-0.0193419,0.9897361,0.04587911,354.4912,164.6565,358.5035,2.029235,1.351515,-2.077491,-0.6291878,0.7704171,0.08514518,0.05771031,281.6777,185.1653,163.1789,1.384696,0.8787794,-2.558187,0.4540651,0.03427699,0.8853649,-0.09369683,11.3639,125.5555,358.5742
0.9205953,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.040917,1.250766,-2.102837,0.128119,-0.01384704,0.9907944,0.04147719,355.0815,165.3055,359.0332,2.026891,1.352413,-2.072221,-0.627232,0.7730345,0.07639783,0.05622428,281.9483,182.4671,166.712,1.384485,0.8786969,-2.558263,0.4538479,0.03412056,0.8854466,-0.09403321,11.39045,125.5786,358.5428
0.9429452,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.03756,1.252159,-2.096223,0.123624,-0.008490843,0.991449,0.04091358,355.2259,165.801,359.6136,2.025376,1.353832,-2.065847,-0.6240069,0.7763913,0.06608956,0.05885714,282.3854,177.6188,172.1841,1.384573,0.8786946,-2.558181,0.4542639,0.0342759,0.8852119,-0.09417754,11.41271,125.5236,358.5456
0.9649873,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.034663,1.254189,-2.089934,0.1196102,-0.00402524,0.9919357,0.04172436,355.1965,166.2438,0.1147516,2.023179,1.355699,-2.059462,-0.6233765,0.7774441,0.05727118,0.06084807,282.5121,173.8502,176.5101,1.384531,0.8786738,-2.558201,0.4544407,0.03455646,0.8850904,-0.09436437,11.44632,125.5003,358.5621
0.9760481,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.033499,1.255139,-2.086678,0.1177135,-0.00218211,0.9921386,0.04242345,355.1416,166.4536,0.3253338,2.022503,1.35644,-2.056178,-0.6253771,0.7760154,0.05353316,0.06194939,282.2483,172.0913,178.487,1.384362,0.8787727,-2.55834,0.4542805,0.03465357,0.8851705,-0.09434772,11.44999,125.5222,358.5751
0.9981936,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.031441,1.256962,-2.080235,0.1177051,0.001709593,0.992044,0.04462391,354.9437,166.4318,0.7993707,2.021031,1.35826,-2.049678,-0.6303888,0.772163,0.05167004,0.06086515,281.5313,171.7018,179.1235,1.384496,0.8786455,-2.558345,0.4542937,0.03450944,0.8851628,-0.09441017,11.44876,125.5186,358.5567
1.020643,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.02916,1.258343,-2.074106,0.1202293,0.003978505,0.9916906,0.04559352,354.8667,166.1261,1.084684,2.019779,1.359608,-2.043,-0.6343496,0.7688594,0.0547516,0.05880512,280.9206,173.6472,177.0995,1.384083,0.8786592,-2.558502,0.4540713,0.03416617,0.885321,-0.09412025,11.40138,125.5487,358.5399
1.042709,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.027593,1.259175,-2.06819,0.1220327,0.00319667,0.9914531,0.04602971,354.8081,165.9203,1.011056,2.018367,1.360333,-2.03671,-0.6363337,0.767041,0.05437349,0.06140928,280.6216,172.2024,178.3648,1.383815,0.8786793,-2.558428,0.4540182,0.03408604,0.885373,-0.09391651,11.37641,125.5575,358.5433
1.064825,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.026195,1.259739,-2.062406,0.122671,-0.0009622053,0.9913554,0.04653516,354.6924,165.8667,0.5471944,2.015823,1.360624,-2.030555,-0.6331547,0.7695723,0.05098785,0.06537512,281.1325,169.2375,181.2783,1.384104,0.8784825,-2.558419,0.4540589,0.03437943,0.8853396,-0.09392745,11.39291,125.5543,358.5724
1.076056,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.025018,1.260381,-2.059623,0.1227521,-0.002872321,0.991318,0.04703489,354.6086,165.8665,0.336815,2.014857,1.361637,-2.028345,-0.6310436,0.7711637,0.04885517,0.06858361,281.4849,167.1981,183.2269,1.38408,0.8784624,-2.558422,0.45416,0.03448308,0.8852677,-0.09407812,11.41362,125.54,358.5737
1.098352,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.029208,1.263724,-2.052033,0.1234779,-0.01045904,0.991142,0.04776281,354.4185,165.8223,359.4855,2.014117,1.362746,-2.021766,-0.6316496,0.7704446,0.04933601,0.07070898,281.3977,166.3522,183.8605,1.383976,0.8783623,-2.558497,0.4542922,0.03458061,0.8851648,-0.09437212,11.44862,125.5198,358.5661
1.120526,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.02697,1.264811,-2.047478,0.1221815,-0.01379821,0.9910662,0.05166452,353.928,165.9888,359.1515,2.012574,1.363406,-2.015501,-0.6349399,0.7676938,0.05066039,0.07022224,280.8894,166.6918,183.4567,1.383667,0.8782563,-2.558686,0.4543187,0.03425764,0.8851562,-0.09444346,11.43886,125.513,358.5286
1.142574,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.02571,1.265323,-2.042539,0.1242209,-0.01375372,0.9906937,0.05390817,353.6714,165.7504,359.2011,2.010633,1.363958,-2.00976,-0.6386836,0.7648825,0.05588471,0.06256913,280.2537,172.144,178.2079,1.384041,0.8785111,-2.558437,0.4543676,0.03428025,0.8851665,-0.09410172,11.40501,125.511,358.5488
1.164728,1,0,-1.64,0,0,1,0,0,180,0,1,0,-1.64,0,0,1,0,0,180,0,2.024996,1.26583,-2.03952,0.1280873,-0.01451382,0.990449,0.04892674,354.2242,165.3096,359.0661,2.010058,1.36437,-2.003796,-0.6421807,0.7618183,0.06204806,0.05819637,279.7107,176.9489,173.2609,1.383705,0.8784087,-2.558739,0.454438,0.03436014,0.885142,-0.09396386,11.395,125.5041,358.5635
